Dealer,Make,Month,Brand,Consolidation,Categoria,No. of Units
BMW,BMW,Jan-13,X3,X3,Automovil,1.00
BMW,BMW,Jan-13,X6,X6,Automovil,1.00
St Martin Cars,Nissan,Jan-13,X-Trail,X-Trail,Special Cars,1.00
REAL AUTO,TOYOTA,Jan-13,Yaris,Yaris,Automovil,2.00
Motorworld,HYUNDAI,Jan-14,i10,i10,Automovil,18.00
Motorworld,HYUNDAI,Jan-14,Accent,Accent,Automovil,6.00
REAL AUTO,SUZUKI,Jan-14,APV,APV,Automovil,1.00
REAL AUTO,MMC,Jan-14,ASX,ASX,Automovil,4.00
St Martin Cars,Renault,Jan-14,Captur,Captur,Automovil,5.00
Motorworld,DODGE,Jan-14,Caravan,Caravan,Automovil,1.00
Soremar,Kia,Jan-14,Cerato,Cerato,Automovil,1.00
REAL AUTO,GM,Jan-14,Cmp Van,Cmp Van,Automovil,1.00
BMW,Mini,Jan-14,Cooper,Cooper,Automovil,1.00
REAL AUTO,TOYOTA,Jan-14,Corolla SD,Corolla SD,Automovil,3.00
REAL AUTO,GM,Jan-14,Cruze ,Cruze ,Automovil,1.00
Motorworld,HONDA,Jan-14,CRV,CRV,Automovil,2.00
St Martin Cars,Dacia,Jan-14,Duster,Duster,Large SUV,1.00
CARIBBEAN AUTO,FORD,Jan-14,Edge,Edge,Automovil,3.00
Motorworld,HYUNDAI,Jan-14,Elantra,Elantra,Automovil,7.00
CARIBBEAN AUTO,FORD,Jan-14,Escape,Escape,Automovil,2.00
CARIBBEAN AUTO,FORD,Jan-14,Explorer,Explorer,Automovil,3.00
St Martin Cars,Nissan,Jan-14,Frontier,Frontier,Pick-Up,2.00
CARIBBEAN AUTO,FORD,Jan-14,Fusion,Fusion,Automovil,1.00
Motorworld,HYUNDAI,Jan-14,H1 Bus/Van,H1 Bus/Van,Automovil,4.00
Motorworld,HYUNDAI,Jan-14,H100 Truck,H100 Truck,Automovil,2.00
Motorworld,HYUNDAI,Jan-14,HD 45,HD 45,Automovil,1.00
REAL AUTO,TOYOTA,Jan-14,Hiace,Hiace,Automovil,1.00
REAL AUTO,TOYOTA,Jan-14,Hilux,Hilux,Automovil,1.00
Motorworld,HYUNDAI,Jan-14,i20,i20,Automovil,15.00
Motorworld,HYUNDAI,Jan-14,i30,i30,Automovil,2.00
Motorworld,HYUNDAI,Jan-14,i40,i40,Automovil,1.00
REAL AUTO,TOYOTA,Jan-14,Innova,Innova,Automovil,1.00
Soremar,Kia,Jan-14,K Truck,K Truck,Automovil,1.00
St Martin Cars,Nissan,Jan-14,March,March,Subcompact Cars,7.00
CARIBBEAN AUTO,LINCOLN,Jan-14,MKX,MKX,Automovil,1.00
St Martin Cars,Nissan,Jan-14,Murano,Murano,Automovil,1.00
CARIBBEAN AUTO,FORD,Jan-14,Mustang,Mustang,Automovil,1.00
St Martin Cars,Nissan,Jan-14,Navara,Navara,Full Size,2.00
Soremar,Kia,Jan-14,Picanto,Picanto,Automovil,19.00
REAL AUTO,TOYOTA,Jan-14,Rav 4,Rav 4,Automovil,3.00
Soremar,Kia,Jan-14,Rio,Rio,Automovil,6.00
Motorworld,HYUNDAI,Jan-14,Santa Fe,Santa Fe,Automovil,4.00
St Martin Cars,Nissan,Jan-14,Sentra,Sentra,Luxury SUV,1.00
REAL AUTO,GM,Jan-14,Sonic,Sonic,Automovil,1.00
Soremar,Kia,Jan-14,Soul,Soul,Automovil,2.00
Soremar,Kia,Jan-14,Sportage,Sportage,Automovil,1.00
St Martin Cars,Dacia,Jan-14,Stepway,Stepway,Midsize SUV,3.00
REAL AUTO,SUZUKI,Jan-14,Swift,Swift,Automovil,2.00
REAL AUTO,SUZUKI,Jan-14,SX4,SX4,Automovil,3.00
St Martin Cars,Nissan,Jan-14,Teana,Teana,Automovil,1.00
CARIBBEAN AUTO,VOLKSWAGEN,Jan-14,Tiguan,Tiguan,Automovil,2.00
REAL AUTO,GM,Jan-14,Traverse,Traverse,Automovil,1.00
Motorworld,HYUNDAI,Jan-14,Tucson,Tucson,Automovil,12.00
St Martin Cars,Nissan,Jan-14,Urvan,Urvan,Commercial Truck,3.00
REAL AUTO,SUZUKI,Jan-14,Vitara,Vitara,Automovil,1.00
St Martin Cars,Nissan,Jan-14,W41,W41,Automovil,4.00
Motorworld,JEEP,Jan-14,Wrangler,Wrangler,Automovil,5.00
BMW,BMW,Jan-14,X3,X3,Automovil,3.00
BMW,BMW,Jan-14,X6,X6,Automovil,1.00
St Martin Cars,Nissan,Jan-14,X-Trail,X-Trail,Special Cars,2.00
REAL AUTO,TOYOTA,Jan-14,Yaris,Yaris,Automovil,5.00
Motorworld,HYUNDAI,Jan-15,Accent,Accent,Automovil,21.00
Motorworld,JEEP,Apr-14,Wrangler,Wrangler,Automovil,2.00
Motorworld,HYUNDAI,Mar-14,i10,i10,Automovil,16.00
Motorworld,HYUNDAI,Mar-14,i20,i20,Automovil,2.00
Motorworld,HYUNDAI,Mar-14,Veloster,Veloster,Automovil,4.00
Motorworld,HYUNDAI,Mar-14,H1 Bus/Van,H1 Bus/Van,Automovil,2.00
Motorworld,HYUNDAI,Mar-14,H100 Truck,H100 Truck,Automovil,5.00
Motorworld,HYUNDAI,Mar-14,HD 72,HD 72,Automovil,1.00
Motorworld,JEEP,Mar-14,Grand Cherokee,Grand Cherokee,Automovil,3.00
Motorworld,HYUNDAI,Aug-14,i10,i10,Automovil,2.00
Motorworld,HYUNDAI,Aug-14,Grand I10,Grand I10,Automovil,11.00
Motorworld,HYUNDAI,Aug-14,i20,i20,Automovil,2.00
Motorworld,HYUNDAI,Aug-14,i30,i30,Automovil,2.00
